time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
1245000030,175.21,151.98,138.16,158.66,4.28,4.21,s7_stimuli_t4.jpg,1859
1245004029,175.15,153.75,139.26,158.06,4.27,4.21,s7_stimuli_t4.jpg,1859
1245008028,173.15,153.69,137.29,158.43,4.27,4.21,s7_stimuli_t4.jpg,1859
1245012028,172.57,152.1,137.72,157.75,4.27,4.21,s7_stimuli_t4.jpg,1859
1245016027,172.15,151.11,136.11,161.04,4.27,4.21,s7_stimuli_t4.jpg,1859
1245020027,170.88,150.09,136.17,162.51,4.27,4.2,s7_stimuli_t4.jpg,1859
1245024026,169.13,148.78,134.55,160.91,4.27,4.2,s7_stimuli_t4.jpg,1859
1245028026,166.2,148.07,135.38,162.36,4.28,4.2,s7_stimuli_t4.jpg,1859
1245032026,165.11,147.53,135.05,161.23,4.28,4.2,s7_stimuli_t4.jpg,1859
1245036025,161.11,147.6,135.26,158.57,4.29,4.2,s7_stimuli_t4.jpg,1859
1245040025,163.17,147.12,135.14,158.25,4.29,4.2,s7_stimuli_t4.jpg,1859
1245044024,162.53,146.73,133.23,156.5,4.29,4.2,s7_stimuli_t4.jpg,1859
1245048024,160.8,145.47,131.55,156.08,4.29,4.2,s7_stimuli_t4.jpg,1859
1245052024,161.25,144.64,132.13,153.55,4.29,4.2,s7_stimuli_t4.jpg,1859
1245056023,159.59,145.15,131.94,151.29,4.3,4.2,s7_stimuli_t4.jpg,1859
1245060023,159.68,145.71,132.22,149.24,4.3,4.2,s7_stimuli_t4.jpg,1859
1245064022,159.87,145.81,132.01,148.76,4.29,4.21,s7_stimuli_t4.jpg,1859
1245068022,161.19,145.96,132.37,149.05,4.29,4.21,s7_stimuli_t4.jpg,1859
1245072022,163.34,146.68,132.7,148.34,4.28,4.22,s7_stimuli_t4.jpg,1859
1245076021,166.53,146.77,132.86,148.04,4.28,4.23,s7_stimuli_t4.jpg,1859
1245080021,167.87,147.05,132.44,149.74,4.28,4.24,s7_stimuli_t4.jpg,1859
1245084020,169.26,148.42,131.72,149.57,4.28,4.25,s7_stimuli_t4.jpg,1859
1245088020,170.41,149.3,132.22,148.99,4.28,4.25,s7_stimuli_t4.jpg,1859
1245092020,170.54,150.45,132.02,147.47,4.28,4.25,s7_stimuli_t4.jpg,1859
1245096019,170.99,151.54,130.79,147.94,4.28,4.25,s7_stimuli_t4.jpg,1859
1245100019,171.2,151.46,130.13,149.65,4.28,4.25,s7_stimuli_t4.jpg,1859
1245104018,170.63,151.63,130.08,149.49,4.28,4.25,s7_stimuli_t4.jpg,1859
1245108018,170.36,151.94,129.05,149.36,4.28,4.26,s7_stimuli_t4.jpg,1859
1245112018,170.35,152.74,129.14,148.29,4.28,4.26,s7_stimuli_t4.jpg,1859
1245116017,169.42,153.15,128.75,148.06,4.28,4.26,s7_stimuli_t4.jpg,1859
1245120017,168.68,154.11,128.45,147.48,4.28,4.26,s7_stimuli_t4.jpg,1859
1245124016,168.02,155.27,128.27,146.61,4.27,4.26,s7_stimuli_t4.jpg,1859
1245128016,169.39,156.08,128.55,146.89,4.28,4.27,s7_stimuli_t4.jpg,1859
1245132016,167.78,156.57,127.48,147.75,4.28,4.27,s7_stimuli_t4.jpg,1859
1245136015,167.97,159.12,127.9,148.56,4.27,4.27,s7_stimuli_t4.jpg,1859
1245140015,169.07,161.36,127.88,149.41,4.27,4.27,s7_stimuli_t4.jpg,1859
1245144014,169.03,164.02,127.78,150.12,4.27,4.27,s7_stimuli_t4.jpg,1859
1245148014,169.93,165.08,127.68,151.94,4.27,4.27,s7_stimuli_t4.jpg,1859
1245152014,171.06,167.48,127.76,152.97,4.28,4.27,s7_stimuli_t4.jpg,1859
1245156013,171.49,167.98,127.58,154.36,4.27,4.27,s7_stimuli_t4.jpg,1859
