time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
1040297379,148.39,154.37,138.4,146.57,4.01,3.83,s7_stimuli_t4.jpg,1729
1040301379,146.75,151.65,137.65,145.0,4.01,3.83,s7_stimuli_t4.jpg,1729
1040305379,145.4,149.62,136.58,144.26,4.02,3.84,s7_stimuli_t4.jpg,1729
1040309378,142.66,148.17,135.81,142.76,4.02,3.84,s7_stimuli_t4.jpg,1729
1040313378,139.87,147.29,134.92,141.16,4.02,3.84,s7_stimuli_t4.jpg,1729
1040317378,138.36,144.75,134.18,139.74,4.02,3.84,s7_stimuli_t4.jpg,1729
1040321378,137.58,145.1,135.17,138.78,4.02,3.85,s7_stimuli_t4.jpg,1729
1040325378,138.03,142.99,135.19,137.42,4.02,3.85,s7_stimuli_t4.jpg,1729
1040329377,137.74,142.27,135.13,137.52,4.02,3.85,s7_stimuli_t4.jpg,1729
1040333377,138.64,142.92,136.06,137.49,4.03,3.85,s7_stimuli_t4.jpg,1729
1040337377,138.37,141.99,138.04,137.93,4.03,3.85,s7_stimuli_t4.jpg,1729
1040341377,140.28,140.27,140.09,137.43,4.03,3.85,s7_stimuli_t4.jpg,1729
1040345376,145.85,140.05,144.56,137.52,4.04,3.85,s7_stimuli_t4.jpg,1729
1040349376,146.27,139.65,149.17,138.78,4.04,3.86,s7_stimuli_t4.jpg,1729
1040353376,150.49,139.34,150.27,139.91,4.05,3.86,s7_stimuli_t4.jpg,1729
1040357376,152.76,138.54,151.54,141.11,4.05,3.86,s7_stimuli_t4.jpg,1729
1040361375,152.06,140.44,154.12,141.35,4.06,3.86,s7_stimuli_t4.jpg,1729
1040365375,154.48,139.32,156.24,139.97,4.07,3.86,s7_stimuli_t4.jpg,1729
1040369375,155.89,139.54,157.71,138.79,4.08,3.86,s7_stimuli_t4.jpg,1729
1040373374,155.66,140.07,159.09,135.85,4.09,3.86,s7_stimuli_t4.jpg,1729
1040377375,156.46,138.4,160.25,134.55,4.09,3.86,s7_stimuli_t4.jpg,1729
1040381375,156.97,138.56,159.87,130.18,4.09,3.87,s7_stimuli_t4.jpg,1729
1040385375,156.68,139.06,159.62,127.29,4.1,3.87,s7_stimuli_t4.jpg,1729
1040389375,155.58,139.01,158.85,125.21,4.1,3.88,s7_stimuli_t4.jpg,1729
1040393376,154.99,139.09,157.36,122.39,4.1,3.88,s7_stimuli_t4.jpg,1729
1040397376,154.64,139.08,156.41,119.8,4.11,3.89,s7_stimuli_t4.jpg,1729
1040401376,153.81,139.0,155.77,118.12,4.11,3.9,s7_stimuli_t4.jpg,1729
1040405376,154.63,137.89,154.7,115.87,4.11,3.9,s7_stimuli_t4.jpg,1729
1040409377,152.69,137.36,153.56,115.26,4.12,3.9,s7_stimuli_t4.jpg,1729
1040413377,152.53,137.1,153.87,114.57,4.12,3.91,s7_stimuli_t4.jpg,1729
1040417377,152.59,136.68,154.11,113.76,4.12,3.9,s7_stimuli_t4.jpg,1729
1040421378,151.79,136.94,154.01,112.85,4.12,3.9,s7_stimuli_t4.jpg,1729
1040425378,150.6,137.3,153.89,112.61,4.12,3.9,s7_stimuli_t4.jpg,1729
1040429378,150.65,137.34,154.09,111.91,4.12,3.9,s7_stimuli_t4.jpg,1729
1040433378,148.91,137.13,154.2,110.92,4.13,3.9,s7_stimuli_t4.jpg,1729
1040437379,149.67,136.72,153.77,111.22,4.13,3.9,s7_stimuli_t4.jpg,1729
1040441379,149.06,136.3,154.6,111.2,4.13,3.91,s7_stimuli_t4.jpg,1729
1040445379,148.33,136.58,153.3,110.28,4.14,3.91,s7_stimuli_t4.jpg,1729
1040449380,148.15,137.15,153.51,108.91,4.14,3.9,s7_stimuli_t4.jpg,1729
1040453380,149.77,137.03,153.01,108.08,4.14,3.91,s7_stimuli_t4.jpg,1729
1040457380,148.65,136.81,151.33,108.03,4.14,3.91,s7_stimuli_t4.jpg,1729
1040461380,149.1,136.02,150.73,107.97,4.14,3.91,s7_stimuli_t4.jpg,1729
1040465381,148.26,135.84,149.43,107.77,4.14,3.91,s7_stimuli_t4.jpg,1729
1040469381,148.89,134.71,149.18,108.84,4.14,3.92,s7_stimuli_t4.jpg,1729
1040473381,147.62,133.57,146.73,108.66,4.15,3.92,s7_stimuli_t4.jpg,1729
1040477382,148.27,133.92,145.74,109.97,4.15,3.93,s7_stimuli_t4.jpg,1729
1040481382,147.17,134.15,145.41,108.81,4.16,3.93,s7_stimuli_t4.jpg,1729
1040485382,147.11,135.29,144.79,109.2,4.16,3.93,s7_stimuli_t4.jpg,1729
1040489382,148.11,135.17,145.17,110.45,4.16,3.94,s7_stimuli_t4.jpg,1729
1040493383,148.75,134.4,145.94,113.12,4.16,3.94,s7_stimuli_t4.jpg,1729
1040497383,208.22,135.94,229.33,120.04,4.16,3.94,s7_stimuli_t4.jpg,1729
1040501383,333.79,140.04,345.58,143.92,4.17,3.94,s7_stimuli_t4.jpg,1729
1040505384,410.95,144.93,422.48,163.6,4.16,3.94,s7_stimuli_t4.jpg,1729
1040509384,463.04,151.75,494.96,176.49,4.16,3.93,s7_stimuli_t4.jpg,1729
1040513384,483.79,173.23,509.92,192.52,4.16,3.93,s7_stimuli_t4.jpg,1729
1040517384,474.99,186.94,503.6,194.77,4.15,3.93,s7_stimuli_t4.jpg,1729
1040521385,464.86,216.26,485.72,201.64,4.14,3.93,s7_stimuli_t4.jpg,1729
1040525385,442.88,222.08,439.98,200.77,4.14,3.93,s7_stimuli_t4.jpg,1729
1040529385,448.0,209.96,448.11,199.71,4.14,3.93,s7_stimuli_t4.jpg,1729
1040533385,453.08,210.43,470.03,200.04,4.13,3.92,s7_stimuli_t4.jpg,1729
1040537386,462.26,214.28,493.31,202.59,4.12,3.91,s7_stimuli_t4.jpg,1729
1040541386,474.67,217.82,499.9,206.06,4.11,3.9,s7_stimuli_t4.jpg,1729
1040545386,482.5,221.86,505.56,209.48,4.1,3.89,s7_stimuli_t4.jpg,1729
1040549387,486.34,225.38,505.88,214.9,4.09,3.88,s7_stimuli_t4.jpg,1729
1040553387,489.05,229.2,507.32,218.9,4.09,3.88,s7_stimuli_t4.jpg,1729
1040557387,491.36,232.46,506.96,226.06,4.08,3.87,s7_stimuli_t4.jpg,1729
1040561387,495.12,235.98,505.06,230.87,4.07,3.86,s7_stimuli_t4.jpg,1729
1040565384,497.45,237.1,509.73,239.59,4.06,3.85,s7_stimuli_t4.jpg,1729
1040569381,500.93,238.87,510.73,245.9,4.06,3.85,s7_stimuli_t4.jpg,1729
1040573377,503.6,245.07,512.32,251.59,4.05,3.84,s7_stimuli_t4.jpg,1729
1040577372,506.69,244.43,513.76,255.22,4.05,3.84,s7_stimuli_t4.jpg,1729
1040581366,507.83,247.81,515.38,260.28,4.05,3.83,s7_stimuli_t4.jpg,1729
1040585360,510.53,250.33,515.71,263.44,4.05,3.83,s7_stimuli_t4.jpg,1729
1040589355,513.54,252.65,515.57,264.88,4.05,3.82,s7_stimuli_t4.jpg,1729
1040593349,514.07,253.03,515.65,267.23,4.05,3.82,s7_stimuli_t4.jpg,1729
1040597344,514.65,254.63,514.19,267.84,4.05,3.81,s7_stimuli_t4.jpg,1729
1040601338,513.59,255.68,514.98,269.5,4.05,3.81,s7_stimuli_t4.jpg,1729
1040605332,513.77,255.22,514.77,269.62,4.06,3.81,s7_stimuli_t4.jpg,1729
1040609327,514.28,254.35,514.69,268.28,4.07,3.81,s7_stimuli_t4.jpg,1729
1040613321,513.25,253.79,512.33,266.63,4.07,3.81,s7_stimuli_t4.jpg,1729
1040617315,513.27,252.76,510.34,264.91,4.08,3.81,s7_stimuli_t4.jpg,1729
1040621310,512.17,252.65,509.66,261.54,4.09,3.81,s7_stimuli_t4.jpg,1729
1040625304,511.31,250.55,507.94,259.55,4.09,3.81,s7_stimuli_t4.jpg,1729
1040629298,509.03,248.0,505.25,256.85,4.09,3.8,s7_stimuli_t4.jpg,1729
1040633293,501.94,244.21,500.83,254.72,4.09,3.81,s7_stimuli_t4.jpg,1729
1040637287,473.41,237.83,490.61,243.13,4.09,3.81,s7_stimuli_t4.jpg,1729
1040641281,413.04,227.6,439.97,207.68,4.1,3.82,s7_stimuli_t4.jpg,1729
1040645276,374.84,220.73,399.08,206.33,4.09,3.81,s7_stimuli_t4.jpg,1729
1040649270,356.35,209.47,382.21,195.15,4.09,3.81,s7_stimuli_t4.jpg,1729
1040653264,356.58,214.71,370.5,199.5,4.09,3.82,s7_stimuli_t4.jpg,1729
1040657259,351.83,210.56,368.08,194.31,4.09,3.83,s7_stimuli_t4.jpg,1729
1040661253,359.63,208.76,367.36,192.22,4.09,3.84,s7_stimuli_t4.jpg,1729
1040665247,362.17,206.22,370.1,186.05,4.09,3.84,s7_stimuli_t4.jpg,1729
1040669242,362.43,199.22,369.08,182.64,4.1,3.84,s7_stimuli_t4.jpg,1729
1040673236,357.93,196.52,364.44,176.27,4.1,3.86,s7_stimuli_t4.jpg,1729
1040677231,355.71,193.39,361.54,171.76,4.1,3.87,s7_stimuli_t4.jpg,1729
1040681225,352.85,188.14,361.39,166.51,4.11,3.88,s7_stimuli_t4.jpg,1729
1040685219,348.91,185.38,357.59,162.95,4.11,3.89,s7_stimuli_t4.jpg,1729
1040689214,346.53,182.28,353.74,159.3,4.11,3.89,s7_stimuli_t4.jpg,1729
1040693208,346.54,180.37,352.81,157.58,4.11,3.89,s7_stimuli_t4.jpg,1729
