time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
1114893213,118.57,84.99,139.54,147.31,3.81,3.65,s7_stimuli_t4.jpg,1038
1114897216,119.19,85.46,141.65,145.15,3.8,3.65,s7_stimuli_t4.jpg,1038
1114901218,120.81,89.0,141.02,144.91,3.8,3.65,s7_stimuli_t4.jpg,1038
1114905221,122.64,88.04,142.29,145.57,3.8,3.65,s7_stimuli_t4.jpg,1038
1114909223,123.81,88.69,142.16,145.72,3.8,3.64,s7_stimuli_t4.jpg,1038
1114913225,121.82,92.07,142.97,147.56,3.8,3.65,s7_stimuli_t4.jpg,1038
1114917228,124.67,92.78,144.17,149.38,3.8,3.65,s7_stimuli_t4.jpg,1038
1114921230,125.84,92.3,145.67,148.2,3.8,3.65,s7_stimuli_t4.jpg,1038
1114925233,126.26,95.55,143.63,149.15,3.8,3.65,s7_stimuli_t4.jpg,1038
1114929235,131.73,94.38,146.45,148.9,3.8,3.66,s7_stimuli_t4.jpg,1038
1114933237,133.61,94.17,147.74,149.03,3.8,3.66,s7_stimuli_t4.jpg,1038
1114937240,136.04,93.76,148.36,147.98,3.8,3.65,s7_stimuli_t4.jpg,1038
1114941242,140.27,93.3,148.4,148.82,3.79,3.65,s7_stimuli_t4.jpg,1038
1114945245,140.07,93.54,150.32,150.3,3.79,3.65,s7_stimuli_t4.jpg,1038
1114949247,142.68,96.85,150.62,149.5,3.8,3.64,s7_stimuli_t4.jpg,1038
1114953250,144.28,100.78,151.91,149.96,3.78,3.65,s7_stimuli_t4.jpg,1038
1114957252,144.69,101.23,153.72,150.09,3.78,3.64,s7_stimuli_t4.jpg,1038
1114961254,144.04,102.51,152.39,149.5,3.78,3.64,s7_stimuli_t4.jpg,1038
1114965257,144.13,103.6,151.75,149.99,3.78,3.63,s7_stimuli_t4.jpg,1038
1114969259,143.61,104.28,151.45,150.22,3.78,3.63,s7_stimuli_t4.jpg,1038
1114973262,142.94,104.41,151.74,151.13,3.78,3.63,s7_stimuli_t4.jpg,1038
